Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000125753 1 0 0 0 0 0
ENSG00000167384 1 0 0 1 0 0
ENSG00000266903 1 0 0 0 1 1
ENSG00000127412 1 0 0 0 0 0
ENSG00000030066 1 0 0 0 0 0
ENSG00000108556 1 0 0 0 0 0
ENSG00000103495 1 0 0 0 0 0
ENSG00000146648 1 1 0 0 0 0
ENSG00000186026 1 1 0 1 0 0
ENSG00000104856 1 0 0 1 0 0
ENSG00000141456 1 0 1 0 0 0
ENSG00000091536 1 0 0 0 0 0
ENSG00000126464 1 0 0 0 0 0
ENSG00000104892 1 0 0 0 0 0
ENSG00000103490 1 0 0 0 0 0
ENSG00000125319 1 0 0 0 0 0
ENSG00000140983 1 0 0 0 0 0
ENSG00000204390 1 0 0 0 0 0
ENSG00000221838 1 0 1 0 0 0
ENSG00000104853 0 1 0 0 0 0
ENSG00000104859 0 1 0 0 0 0
ENSG00000117877 0 1 0 0 0 0
ENSG00000104881 0 1 0 0 0 1
ENSG00000167380 0 1 0 0 0 0
ENSG00000030582 0 1 0 0 1 0
ENSG00000248015 0 1 0 0 0 0
ENSG00000177045 0 1 0 0 1 0
ENSG00000186567 0 1 0 1 0 0
ENSG00000069399 0 1 0 0 1 0
ENSG00000264589 0 1 0 0 0 0
ENSG00000142252 0 1 0 0 1 1
ENSG00000196735 0 1 0 0 0 0
ENSG00000196126 0 1 0 0 0 0
ENSG00000011422 0 1 0 0 0 0
ENSG00000135930 0 1 0 0 0 0
ENSG00000174226 0 1 0 0 0 0
ENSG00000261812 0 1 1 0 0 1
ENSG00000111912 0 1 0 0 0 0
ENSG00000099822 0 1 0 0 0 0
ENSG00000161640 0 1 0 0 0 0
ENSG00000104866 0 0 1 0 0 1
ENSG00000159840 0 0 1 0 0 0
ENSG00000108528 0 0 1 0 0 0
ENSG00000204869 0 0 1 0 0 0
ENSG00000010310 0 0 1 0 0 0
ENSG00000185955 0 0 1 0 0 0
ENSG00000178826 0 0 1 0 0 0
ENSG00000130204 0 0 1 1 0 0
ENSG00000106123 0 0 1 0 0 0
ENSG00000196388 0 0 1 0 0 0
ENSG00000125743 0 0 1 0 0 1
ENSG00000122223 0 0 1 0 0 0
ENSG00000204650 0 0 1 0 0 0
ENSG00000136732 0 0 1 0 0 0
ENSG00000106261 0 0 1 0 0 0
ENSG00000168394 0 0 1 0 0 0
ENSG00000106290 0 0 1 0 0 0
ENSG00000147799 0 0 1 0 0 0
ENSG00000112511 0 0 1 0 0 0
ENSG00000125746 0 0 0 1 0 0
ENSG00000138613 0 0 0 1 0 0
ENSG00000012061 0 0 0 1 0 0
ENSG00000104967 0 0 0 1 0 1
ENSG00000268460 0 0 0 1 0 0
ENSG00000169955 0 0 0 1 0 0
ENSG00000128564 0 0 0 1 0 0
ENSG00000181588 0 0 0 1 0 0
ENSG00000125741 0 0 0 1 0 0
ENSG00000174943 0 0 0 1 0 0
ENSG00000011114 0 0 0 1 0 1
ENSG00000177238 0 0 0 1 0 0
ENSG00000169592 0 0 0 1 0 0
ENSG00000130202 0 0 0 0 1 0
ENSG00000130208 0 0 0 0 1 0
ENSG00000090238 0 0 0 0 1 0
ENSG00000095970 0 0 0 0 1 0
ENSG00000136478 0 0 0 0 1 0
ENSG00000149179 0 0 0 0 1 0
ENSG00000151176 0 0 0 0 1 0
ENSG00000137776 0 0 0 0 1 0
ENSG00000126460 0 0 0 0 1 0
ENSG00000064666 0 0 0 0 1 0
ENSG00000163882 0 0 0 0 1 0
ENSG00000141699 0 0 0 0 1 0
ENSG00000162755 0 0 0 0 1 0
ENSG00000131115 0 0 0 0 0 1
ENSG00000241685 0 0 0 0 0 1
ENSG00000149932 0 0 0 0 0 1
ENSG00000106333 0 0 0 0 0 1
ENSG00000159640 0 0 0 0 0 1
ENSG00000166508 0 0 0 0 0 1
ENSG00000180340 0 0 0 0 0 1
ENSG00000247735 0 0 0 0 0 1
ENSG00000150281 0 0 0 0 0 1
ENSG00000110042 0 0 0 0 0 1
ENSG00000140307 0 0 0 0 0 1
ENSG00000172803 0 0 0 0 0 1
ENSG00000166924 0 0 0 0 0 1
ENSG00000159871 0 0 0 0 0 1
