Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000158691 1 0 0 0 0 0
ENSG00000219891 1 0 0 0 0 0
ENSG00000204516 1 0 0 0 0 0
ENSG00000234929 1 0 0 0 0 0
ENSG00000187323 1 0 0 0 0 0
ENSG00000216915 1 0 0 0 0 0
ENSG00000197279 0 1 0 0 0 0
ENSG00000166166 0 1 0 0 1 0
ENSG00000258891 0 1 0 0 0 0
ENSG00000041353 0 0 1 0 0 0
ENSG00000187676 0 0 1 0 0 0
ENSG00000204257 0 0 1 0 0 0
ENSG00000119640 0 0 1 0 0 0
ENSG00000267009 0 0 1 0 0 0
ENSG00000139433 0 0 1 0 0 0
ENSG00000183889 0 0 1 0 0 0
ENSG00000261596 0 0 1 0 0 0
ENSG00000172037 0 0 1 0 0 0
ENSG00000244731 0 0 0 1 1 1
ENSG00000111801 0 0 0 1 0 0
ENSG00000185215 0 0 0 1 0 0
ENSG00000227740 0 0 0 1 0 0
ENSG00000230454 0 0 0 1 0 0
ENSG00000181315 0 0 0 1 0 0
ENSG00000120051 0 0 0 1 0 0
ENSG00000204392 0 0 0 1 0 0
ENSG00000172260 0 0 0 0 1 0
ENSG00000196230 0 0 0 0 1 0
ENSG00000198898 0 0 0 0 1 0
ENSG00000120725 0 0 0 0 1 0
ENSG00000124140 0 0 0 0 0 1
ENSG00000213719 0 0 0 0 0 1
ENSG00000250156 0 0 0 0 0 1
ENSG00000260285 0 0 0 0 0 1
ENSG00000163873 0 0 0 0 0 1
ENSG00000134046 0 0 0 0 0 1
