Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000213654 1 0 0 1 0 0
ENSG00000204463 1 1 1 1 1 1
ENSG00000204525 1 1 1 1 1 1
ENSG00000204248 1 1 0 0 0 0
ENSG00000230795 1 1 1 1 1 1
ENSG00000137343 1 0 0 1 0 0
ENSG00000204590 1 1 0 0 0 0
ENSG00000196735 1 1 1 1 1 1
ENSG00000204386 1 0 0 0 0 0
ENSG00000179344 1 0 1 1 1 1
ENSG00000204267 1 1 0 0 1 0
ENSG00000204469 1 0 1 0 0 1
ENSG00000204366 1 0 1 1 0 1
ENSG00000240065 1 0 0 1 1 1
ENSG00000137411 1 1 1 1 1 1
ENSG00000213676 1 0 0 0 0 0
ENSG00000204389 1 0 1 0 0 0
ENSG00000204356 1 0 0 0 0 1
ENSG00000244731 1 1 1 0 1 1
ENSG00000204390 1 0 0 0 1 1
ENSG00000204387 1 1 0 0 0 1
ENSG00000204256 1 0 0 0 1 0
ENSG00000204576 1 0 1 0 0 0
ENSG00000206503 1 1 0 0 1 0
ENSG00000213722 1 0 0 0 1 0
ENSG00000198502 1 0 1 1 1 0
ENSG00000137331 1 0 0 0 0 0
ENSG00000234745 1 1 1 1 0 0
ENSG00000029363 1 0 0 0 0 0
ENSG00000204315 1 0 1 0 1 0
ENSG00000241106 1 1 1 0 1 1
ENSG00000224086 1 1 1 1 0 0
ENSG00000135452 1 1 0 0 0 0
ENSG00000019186 1 1 1 1 1 1
ENSG00000204394 1 0 1 0 1 0
ENSG00000100034 1 0 1 0 0 0
ENSG00000204520 1 1 1 1 1 1
ENSG00000187987 1 1 1 1 1 1
ENSG00000176563 1 0 0 0 0 0
ENSG00000261829 1 0 0 0 0 0
ENSG00000204257 1 0 0 0 0 0
ENSG00000188177 1 0 0 0 0 0
ENSG00000123297 1 1 0 1 1 1
ENSG00000204228 1 1 0 0 1 0
ENSG00000175643 1 1 0 0 0 0
ENSG00000156853 1 0 0 0 0 0
ENSG00000197496 1 0 0 0 0 0
ENSG00000123427 1 1 1 0 1 1
ENSG00000130522 1 0 0 0 0 0
ENSG00000103495 1 0 0 0 0 0
ENSG00000105072 1 0 0 0 0 0
ENSG00000010278 1 0 0 0 0 0
ENSG00000178852 1 0 0 0 0 0
ENSG00000188897 1 0 0 0 1 1
ENSG00000213760 1 1 0 0 0 1
ENSG00000204220 1 0 0 0 0 0
ENSG00000156858 1 0 0 0 0 0
ENSG00000237522 1 0 0 0 0 0
ENSG00000102572 1 0 0 0 0 0
ENSG00000233184 1 0 0 0 0 0
ENSG00000196126 0 1 1 0 1 1
ENSG00000204388 0 1 1 0 1 0
ENSG00000206337 0 1 1 0 0 0
ENSG00000204338 0 1 1 1 1 1
ENSG00000168394 0 1 1 0 0 0
ENSG00000198563 0 1 0 0 1 1
ENSG00000221988 0 1 0 0 1 1
ENSG00000204681 0 1 0 1 0 0
ENSG00000204287 0 1 0 0 1 0
ENSG00000181126 0 1 0 1 0 1
ENSG00000204564 0 1 0 0 1 1
ENSG00000204623 0 1 0 0 0 0
ENSG00000204308 0 1 1 0 1 0
ENSG00000225914 0 1 0 1 0 1
ENSG00000204560 0 1 0 0 1 0
ENSG00000204427 0 1 0 1 0 1
ENSG00000204428 0 1 1 1 1 1
ENSG00000206344 0 1 1 1 1 1
ENSG00000230521 0 1 0 0 1 0
ENSG00000204580 0 1 0 0 0 0
ENSG00000204371 0 1 0 0 1 0
ENSG00000228789 0 1 0 1 0 0
ENSG00000089558 0 1 0 0 0 0
ENSG00000241370 0 1 0 0 1 1
ENSG00000112812 0 1 0 0 0 0
ENSG00000162694 0 1 0 0 0 0
ENSG00000204351 0 1 1 1 1 1
ENSG00000241973 0 1 0 0 0 0
ENSG00000204498 0 1 0 1 1 0
ENSG00000166278 0 1 0 0 0 0
ENSG00000204438 0 1 0 0 1 1
ENSG00000174938 0 1 0 0 0 0
ENSG00000161904 0 1 0 0 0 1
ENSG00000102738 0 1 0 0 0 0
ENSG00000144837 0 1 0 0 0 0
ENSG00000118513 0 1 0 0 0 0
ENSG00000185201 0 1 0 0 0 0
ENSG00000204568 0 1 0 0 0 0
ENSG00000143318 0 1 0 0 0 0
ENSG00000267106 0 1 0 0 0 0
ENSG00000255737 0 1 0 0 0 0
ENSG00000099308 0 1 0 0 0 0
ENSG00000123329 0 1 0 0 0 1
ENSG00000261840 0 1 0 0 0 0
ENSG00000135541 0 1 0 0 0 0
ENSG00000173992 0 1 0 0 0 0
ENSG00000142089 0 1 1 1 1 1
ENSG00000256594 0 1 0 0 0 0
ENSG00000112511 0 0 1 0 0 0
ENSG00000231852 0 0 1 0 1 0
ENSG00000243649 0 0 1 1 1 1
ENSG00000204713 0 0 1 0 0 0
ENSG00000204435 0 0 1 1 1 0
ENSG00000204314 0 0 1 0 0 0
ENSG00000224389 0 0 1 0 1 1
ENSG00000231925 0 0 1 0 0 0
ENSG00000267222 0 0 1 0 0 0
ENSG00000204592 0 0 1 0 0 0
ENSG00000137312 0 0 1 0 0 0
