Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000004468 1 0 0 0 0 0
ENSG00000179673 1 0 0 0 0 0
ENSG00000267121 1 0 0 0 0 0
ENSG00000118564 1 0 0 0 0 0
ENSG00000264589 0 1 0 0 0 0
ENSG00000185619 0 1 0 0 0 0
ENSG00000179965 0 1 0 0 0 0
ENSG00000186868 0 1 0 0 0 0
ENSG00000226816 0 1 0 0 0 0
ENSG00000205502 0 1 0 0 0 0
ENSG00000159314 0 1 0 0 0 0
ENSG00000204650 0 0 1 0 0 0
ENSG00000145217 0 0 1 0 0 0
ENSG00000103549 0 0 1 0 0 0
ENSG00000080603 0 0 1 0 0 0
ENSG00000196118 0 0 1 0 0 0
ENSG00000103510 0 0 1 0 0 0
ENSG00000127415 0 0 0 1 0 0
ENSG00000178950 0 0 0 0 1 1
ENSG00000214401 0 0 0 0 1 1
ENSG00000120071 0 0 0 0 1 1
ENSG00000049167 0 0 0 0 1 0
ENSG00000139726 0 0 0 0 1 0
ENSG00000169217 0 0 0 0 1 0
ENSG00000127419 0 0 0 0 1 0
ENSG00000185947 0 0 0 0 1 0
ENSG00000151006 0 0 0 0 1 0
ENSG00000176681 0 0 0 0 0 1
ENSG00000260060 0 0 0 0 0 1
ENSG00000178226 0 0 0 0 0 1
