Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000213719 1 0 0 1 0 1
ENSG00000158691 1 0 0 0 0 0
ENSG00000114904 1 1 0 1 0 1
ENSG00000187987 1 1 1 1 1 1
ENSG00000219891 1 0 0 0 0 0
ENSG00000237669 1 0 0 0 1 0
ENSG00000213722 1 1 0 0 1 0
ENSG00000204516 1 1 1 0 1 1
ENSG00000163938 1 0 0 0 0 0
ENSG00000176349 1 1 1 0 1 0
ENSG00000226314 1 1 1 1 1 1
ENSG00000247596 1 0 0 0 0 0
ENSG00000213533 1 0 0 0 0 0
ENSG00000244731 1 1 1 1 1 1
ENSG00000204463 1 1 1 1 1 1
ENSG00000167491 1 0 1 1 1 1
ENSG00000216901 1 1 1 1 1 1
ENSG00000261758 1 0 1 0 1 1
ENSG00000137411 1 1 1 0 1 0
ENSG00000170571 1 1 1 1 1 1
ENSG00000114054 1 1 1 0 1 1
ENSG00000204525 1 1 1 1 1 1
ENSG00000166716 1 0 0 0 0 0
ENSG00000101546 1 1 0 0 0 0
ENSG00000204963 1 1 1 0 1 1
ENSG00000176681 1 1 1 1 1 1
ENSG00000198951 1 1 1 1 1 1
ENSG00000204438 1 1 0 0 0 1
ENSG00000204308 1 1 1 1 1 0
ENSG00000238083 1 1 1 1 0 1
ENSG00000259511 1 1 1 1 0 1
ENSG00000124635 1 0 0 0 0 0
ENSG00000219392 1 1 1 1 1 1
ENSG00000153048 1 0 0 0 0 0
ENSG00000126453 1 0 0 0 0 0
ENSG00000235109 1 1 1 1 1 1
ENSG00000158406 1 1 1 0 0 0
ENSG00000214425 1 1 1 1 1 0
ENSG00000231852 1 0 0 1 1 1
ENSG00000254634 1 0 0 0 0 0
ENSG00000215861 1 0 0 0 0 0
ENSG00000204623 1 0 0 1 0 0
ENSG00000154822 1 0 0 0 0 0
ENSG00000263503 1 1 1 1 1 1
ENSG00000216915 1 0 1 1 1 0
ENSG00000242028 1 0 0 0 0 0
ENSG00000242574 1 1 0 0 1 1
ENSG00000204962 1 1 1 1 1 1
ENSG00000101442 1 0 0 0 0 0
ENSG00000205704 1 1 0 0 1 1
ENSG00000100380 1 0 0 0 0 0
ENSG00000237289 1 0 0 0 0 0
ENSG00000108960 1 0 0 0 1 1
ENSG00000189298 1 1 1 1 1 1
ENSG00000116127 1 0 0 1 0 0
ENSG00000182511 1 0 0 0 0 1
ENSG00000259295 1 0 0 0 0 0
ENSG00000137337 1 0 0 0 0 0
ENSG00000163728 1 1 0 0 1 0
ENSG00000115896 1 0 0 0 0 0
ENSG00000115541 1 0 0 0 0 0
ENSG00000264070 1 0 1 1 0 0
ENSG00000186868 1 1 0 0 0 0
ENSG00000204366 1 0 0 1 0 0
ENSG00000115825 1 0 0 0 1 0
ENSG00000263142 1 0 0 0 0 0
ENSG00000163017 1 0 0 0 0 0
ENSG00000140265 1 1 0 0 0 0
ENSG00000163016 1 0 1 1 1 1
ENSG00000112659 1 0 0 0 1 0
ENSG00000115828 1 1 0 0 1 1
ENSG00000179630 1 0 0 0 0 0
ENSG00000204961 1 0 0 0 0 0
ENSG00000149923 1 0 0 0 0 0
ENSG00000139233 1 0 0 0 0 0
ENSG00000256053 1 1 0 1 0 0
ENSG00000056736 1 0 0 0 0 0
ENSG00000131503 1 0 0 0 0 0
ENSG00000214401 1 1 1 1 0 0
ENSG00000183066 1 1 0 1 1 0
ENSG00000196735 1 1 1 1 0 1
ENSG00000004534 1 0 0 0 0 0
ENSG00000163634 1 1 0 1 1 1
ENSG00000136144 1 0 0 0 0 1
ENSG00000250091 1 1 0 0 1 0
ENSG00000204852 1 0 0 0 0 0
ENSG00000075914 1 0 0 0 0 0
ENSG00000103037 1 0 0 0 1 0
ENSG00000164241 1 0 0 0 1 1
ENSG00000178252 1 0 0 1 0 0
ENSG00000158050 1 0 0 0 0 0
ENSG00000204991 1 1 0 1 1 1
ENSG00000047932 1 0 0 0 0 0
ENSG00000133884 1 0 0 0 0 0
ENSG00000100138 1 0 0 0 0 0
ENSG00000186470 1 0 0 1 1 1
ENSG00000002822 1 0 0 0 0 1
ENSG00000260139 1 0 0 0 0 0
ENSG00000102471 1 0 0 0 0 0
ENSG00000111801 1 0 0 0 1 1
