Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000260075 1 1 1 1 1 1
ENSG00000228696 1 1 1 1 1 1
ENSG00000185829 1 0 0 0 0 0
ENSG00000238083 1 0 0 0 1 1
ENSG00000204842 1 0 0 0 0 0
ENSG00000111275 1 1 1 1 1 1
ENSG00000165912 1 0 0 0 1 0
ENSG00000008118 1 0 0 0 1 0
ENSG00000138031 1 0 0 0 0 0
ENSG00000250091 1 0 0 0 0 0
ENSG00000196787 1 0 0 0 0 0
ENSG00000115840 1 0 0 0 1 1
ENSG00000120071 1 1 1 0 1 1
ENSG00000124207 1 0 0 0 0 0
ENSG00000236922 1 0 0 1 0 0
ENSG00000139537 1 0 0 0 0 0
ENSG00000114650 1 0 0 0 0 0
ENSG00000167550 0 1 1 1 0 1
ENSG00000144290 0 1 0 0 0 0
ENSG00000138430 0 1 0 0 1 0
ENSG00000079819 0 1 0 0 0 0
ENSG00000189431 0 1 0 0 0 0
ENSG00000242593 0 1 0 0 0 1
ENSG00000204789 0 1 0 0 0 0
ENSG00000165118 0 1 0 0 1 0
ENSG00000234350 0 1 0 0 0 0
ENSG00000124116 0 1 0 0 0 0
ENSG00000110536 0 0 1 0 0 0
ENSG00000167552 0 0 1 0 0 0
ENSG00000134285 0 0 1 0 0 0
ENSG00000165113 0 0 1 0 0 0
ENSG00000149743 0 0 1 0 0 0
ENSG00000134864 0 0 1 0 0 0
ENSG00000178966 0 0 1 0 0 0
ENSG00000137393 0 0 1 0 0 0
ENSG00000226124 0 0 1 0 0 0
ENSG00000186453 0 0 1 1 0 0
ENSG00000167553 0 0 0 1 0 0
ENSG00000258359 0 0 0 1 0 0
ENSG00000163328 0 0 0 1 1 0
ENSG00000174502 0 0 0 1 1 0
ENSG00000164220 0 0 0 1 0 0
ENSG00000116704 0 0 0 1 0 0
ENSG00000243708 0 0 0 1 0 0
ENSG00000226314 0 0 0 1 0 0
ENSG00000111300 0 0 0 0 1 0
ENSG00000234608 0 0 0 0 1 0
ENSG00000176681 0 0 0 0 1 1
ENSG00000266918 0 0 0 0 1 1
ENSG00000110492 0 0 0 0 1 0
ENSG00000214401 0 0 0 0 1 0
ENSG00000144746 0 0 0 0 1 0
ENSG00000267100 0 0 0 0 1 0
ENSG00000072778 0 0 0 0 1 0
ENSG00000214941 0 0 0 0 1 0
ENSG00000171368 0 0 0 0 1 1
ENSG00000132535 0 0 0 0 1 0
ENSG00000134779 0 0 0 0 1 0
ENSG00000258794 0 0 0 0 1 0
ENSG00000119242 0 0 0 0 1 0
ENSG00000170291 0 0 0 0 1 0
ENSG00000144821 0 0 0 0 1 0
ENSG00000081026 0 0 0 0 1 0
ENSG00000144306 0 0 0 0 0 1
ENSG00000145907 0 0 0 0 0 1
ENSG00000160796 0 0 0 0 0 1
ENSG00000182541 0 0 0 0 0 1
ENSG00000155511 0 0 0 0 0 1
ENSG00000248019 0 0 0 0 0 1
ENSG00000008838 0 0 0 0 0 1
