Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000136110 1 0 0 0 0 0
ENSG00000187772 1 0 0 0 1 0
ENSG00000198876 1 0 0 0 0 0
ENSG00000240207 1 0 1 0 1 0
ENSG00000079257 1 0 0 0 0 0
ENSG00000108883 0 1 0 0 0 0
ENSG00000173039 0 1 0 0 0 0
ENSG00000112667 0 1 0 0 0 0
ENSG00000175115 0 1 1 0 0 0
ENSG00000124207 0 1 0 0 1 0
ENSG00000174442 0 1 0 0 0 0
ENSG00000172992 0 1 0 1 1 1
ENSG00000113658 0 1 0 0 0 0
ENSG00000246379 0 1 0 0 0 0
ENSG00000177352 0 0 1 0 0 0
ENSG00000198728 0 0 1 0 0 0
ENSG00000225106 0 0 1 0 0 0
ENSG00000100276 0 0 1 0 0 0
ENSG00000175467 0 0 0 1 0 0
ENSG00000085382 0 0 0 0 1 1
ENSG00000112659 0 0 0 0 1 0
ENSG00000245849 0 0 0 0 1 0
ENSG00000086205 0 0 0 0 1 1
ENSG00000232626 0 0 0 0 1 0
ENSG00000163431 0 0 0 0 1 0
ENSG00000178974 0 0 0 0 1 0
ENSG00000167114 0 0 0 0 1 0
ENSG00000086189 0 0 0 0 0 1
ENSG00000249855 0 0 0 0 0 1
